id,store,title,price,info,search_value,link,image_url
1854,Jarir,Power Quality Issues and their Impact on the Performance of Industrial Machines,"SR
154",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/power-quality-issues-and-their-impact-on-the-performance-of-industrial-machines-9783960670810.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/e/b/d/4/ebd41a900dcd0ab9963cd83a71bee53a47906922_9783960670810.jpg"
1855,Jarir,Stay Safe : Crossing the Street and Fire safety,"SR
48",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/stay-safe-crossing-the-street-and-fire-safety-9781640358096.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/c/e/f/2/cef2d167f8f90914cc15e6c63d89c17f7b7395c7_9781640358096.jpg"
1856,Jarir,Stay Safe : In the town and safety at home,"SR
48",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/stay-safe-in-the-town-and-safety-at-home-9781640358102.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/6/f/6/c/6f6c030be6f04d30940d89b1cbf2d288f9990372_9781640358102.jpg"
1857,Jarir,A Simulation Study of Energy Efficient MAC Protocol,"SR
229",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/a-simulation-study-of-energy-efficient-mac-protocol-9783659106712.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/f/7/3/d/f73de9b0fb41b5cadd1d18b02db5ed751e49fcd3_9783659106712.jpg"
1858,Jarir,A Multichannel Wireless Sensor Networks MAC Protocol,"SR
196",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/a-multichannel-wireless-sensor-networks-mac-protocol-9783659807398.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/e/2/b/6/e2b6027243124a01b87c705951f5a1fffcf81bef_9783659807398.jpg"
1859,Jarir,Diseases of the Eye: History of Ophthalmic Medicine - Treatments and Diagnoses Described by a Surgeon and Professor of Ophthalmology in the 19th Centu,"SR
95",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/diseases-of-the-eye-history-of-ophthalmic-medicine-treatments-and-diagnoses-described-by-a-surgeon-and-professor-of-o-9780359732999.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/2/d/1/d/2d1da4d2cdb16843af47aa15870709ee786bb3da_9780359732999.jpg"
1860,Jarir,A Guide to Boat Propellers - A Collection of Historical Boating Articles on the Mechanics and Properties of Propellers,"SR
69",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/a-guide-to-boat-propellers-a-collection-of-historical-boating-articles-on-9781447413875.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/1/c/f/4/1cf4ab17f078affe57a7e31c6fc487f6cc29707c_9781447413875.jpg"
1861,Jarir,The 11th IFToMM International Symposium on Science of Mechanisms and Machines,"SR
1,079",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/the-11th-iftomm-international-symposium-on-science-of-mechanisms-and-machin-9783319375724.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/9/b/6/5/9b6529bcc368c1d0339d333de2c380680b64e3ec_9783319375724.jpg"
1862,Jarir,Web Application Security is a Stack,"SR
87",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/web-application-security-is-a-stack-9781849287043.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/a/3/2/2/a3227a49b6c39d990e13ac38b7d5ce0c490db1b1_9781849287043.jpg"
1863,Jarir,My School : My Friends and Teacher,"SR
48",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/my-school-my-friends-and-teacher-9781640358058.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/3/7/b/4/37b43897f14f756f07cc119ec34b283ca68f3b86_9781640358058.jpg"
1864,Jarir,Saty Safe : jack is safe in school,"SR
48",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/saty-safe-jack-is-safe-in-school-9781640358331.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/3/5/5/e/355ecf4dc0e50308aab9635d038da8d1fa3502e8_9781640358331.jpg"
1865,Jarir,Ice-Making Machines:The theory of the action of the various forms of cold-producing or so-called ice machines,"SR
108",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/ice-making-machines-the-theory-of-the-action-of-the-various-forms-of-cold-producing-or-so-called-ice-machines-9783337163990.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/8/3/e/7/83e7ec4d0c0ad22dcc3e5787c25f9361e46e78f4_9783337163990.jpg"
1866,Jarir,Advances in Mechanism Design II : Proceedings of the XII International Conference on the Theory of Machines and Mechanisms,"SR
1,117",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/advances-in-mechanism-design-ii-proceedings-of-the-xii-international-conf-9783319829791.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/0/7/d/f/07dfec4c9a7d259ef3088a8e2c3c7c0a26c894e4_9783319829791.jpg"
1867,Jarir,Explorations in the History of Machines and Mechanisms : Proceedings of the Fifth IFToMM Symposium on the History of Machines and Mechanisms,"SR
557",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/explorations-in-the-history-of-machines-and-mechanisms-proceedings-of-the-9783319809854.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/e/6/0/f/e60fd53c876ddcc75f98661eae48dcfbcc8b3eb0_9783319809854.jpg"
1868,Jarir,Dynamics of vibratory technological machines and processes,"SR
289",No additional info available,MacBook Pro,https://www.jarir.com/sa-en/default-category/dynamics-of-vibratory-technological-machines-and-processes-9786203581096.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/5/4/a/7/54a71ade5802b2a667e3b8dcaf7fdf04df8b0621_9786203581096.jpg"
